id,literal_id,printed_id,playagricola_card_id,revision_id,deck_id,type_id,name_ja,name_en,min_players_number,imp_prereq,imp_cost,description,ja_is_official,vps,has_arrow,has_bonus,has_neg_bonus,has_pan_icon,has_bread_icon,ag2_category_icon_id,special_color_id
101011,11,11,1485,1,1,2,畑,Field,,,食料1,このカードを出したらすぐに畑を（最大）1つ耕す。（プレイしたカードは自分の前に置かずに左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101012,12,12,1476,1,1,2,釣竿,Fishing Rod,,,木材1,「漁」のアクションのたびに、追加で食料1を得る。ラウンド8からは追加で食料2を得る。,1,0,0,0,0,0,0,,
101013,13,13,1301,1,1,2,斧,Axe,,,木材1石材1,木の家の増築はいつも木材2と葦2でできる。,1,0,0,0,0,0,0,,
101014,14,14,1482,1,1,2,パン焼き暖炉,Baker's Oven,,,暖炉1枚を返す,「パンを焼く」のアクションのたびに、小麦2つまでをそれぞれ食料5にできる。このカードを出してすぐに追加で「パンを焼く」のアクションができる。,1,3,0,0,0,0,1,,
101015,15,15,1391,1,1,2,パン焼き桶,Baking Tray,,,木材1,レンガ暖炉と石の暖炉が小さい進歩になり好きな資材1つ安くなる。木の暖炉も資材1つ安くなる。,1,0,0,0,0,0,0,,
101016,16,16,1587,1,1,2,建築資材,Building Material,,,,このカードを出したらすぐ木材1かレンガ1を得る。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101017,17,17,1675,1,1,2,風車小屋,Windmill,,,木材3石材1,パンを焼かずにいつでも小麦1を食料2にできる。,1,2,0,0,0,0,0,,
101018,18,18,1480,1,1,2,マメ畑,Beanfield,,職業2,,種まきで、このカードの上に畑と同じように野菜を植えられる。（このカードは得点計算で畑に含めない）,1,1,0,0,0,0,0,,
101019,19,19,1582,1,1,2,三つ足やかん,Gypsy’s Crock,,,レンガ2,:鍋:の印がついた進歩で2つの品物を食料にするたびに食料をもう1つ得る。（家畜も含む）,1,1,0,0,0,0,0,,
101020,20,20,1413,1,1,2,簡易かまど,Simple Fireplace,,,レンガ1,"以下の品をいつでも食料にできる：
野菜1→食料2 羊1→食料1 猪1→食料2 牛1→食料3
「パンを焼く」のアクションでは、小麦を以下の数の食料にできる：
小麦1→食料2",1,1,0,0,0,1,1,,
101021,21,21,1519,1,1,2,木骨の小屋,Half-timbered House,,,木材1レンガ1葦1石材2,ゲーム終了時に石の家の広さ1スペースにつき、ボーナス1点を得る。（木骨の小屋とヴィラの両方を持っていたら、ヴィラのボーナス点のみ入る）,1,0,0,1,0,0,0,,
101022,22,22,1479,1,1,2,いかだ,Raft,,,木材2,「漁」のアクションのたびに追加の食料1か葦1を得る。,1,1,0,0,0,0,0,,
101023,23,23,1534,1,1,2,かいば桶,Manger,,,木材2,ゲーム終了時に、牧場の広さの合計が6/7/8/9マス以上で、ボーナス1/2/3/4点を得る。,1,0,0,1,0,0,0,,
101024,24,24,1359,1,1,2,檻,Animal Pen,,職業4,木材2,これ以降のラウンドのスペース全部にそれぞれ食料2を置く。これらのラウンドのはじめにその食料を得る。,1,1,0,0,0,0,0,,
101025,25,25,1526,1,1,2,スパイス,Spices,,,,:鍋:のついた進歩カードで野菜を食料にするたびに追加で食料1を得る。,1,0,0,0,0,0,0,,
101026,26,26,1589,1,1,2,かんな,Plane,,,木材1,家具製作所・製材所・家具職人で、木材1を食料に換えると追加で食料1を得る。あるいは木材をもう1つ払って食料2に換えられる。,1,0,0,0,0,0,0,,
101027,27,27,1602,1,1,2,木の暖炉,Wood-fired Oven,,,木材3石材1,「パンを焼く」のアクションのたびにいくつでも小麦1つにつき食料3にできる。このカードを出してすぐに追加で「パンを焼く」のアクションができる。,1,2,0,0,0,0,1,,
101028,28,28,1478,1,1,2,木のスリッパ,Clogs,,,木材1,ゲーム終了時に、レンガの家でボーナス1点、石の家でボーナス2点を得る。,1,0,0,1,0,0,0,,
101029,29,29,1665,1,1,2,角笛,Shepherd’s Pipe,,羊1,,厩の有無に関わらず、羊のいる牧場はそれぞれ追加で2頭まで飼える。柵で囲んでいない厩は羊2頭まで飼える。,1,0,0,0,0,0,0,,
101030,30,30,1459,1,1,2,カヌー,Canoe,,職業2,木材2,「漁」のアクションのたびに、追加で食料1と葦1を得る。,1,1,0,0,0,0,0,,
101031,31,31,1463,1,1,2,鯉の池,Carp Pond,,職業1と進歩2,,これ以降の奇数ラウンドのスペースに、それぞれ食料1を置く。これらのラウンドのはじめにその食料を得る。,1,1,0,0,0,0,0,,
101032,32,32,1530,1,1,2,じゃがいも掘り,Potato Dibber,,,木材1,種をまくたびに、野菜を新しく植えた畑全部にもう1つ野菜を置く。,1,0,0,0,0,0,0,,
101033,33,33,1411,1,1,2,陶器,Ceramics,,暖炉1,レンガ1,このカードを出すとすぐに食料2を得る。今後、製陶所は小さい進歩になり、無料で作れる。,1,0,0,0,0,0,0,,
101034,34,34,1532,1,1,2,かご,Basket,,,葦1,スペースから木材を取るアクションのたびに、木材2をそのスペースに残して食料3を得ることができる。,1,0,0,0,0,0,0,,
101035,35,35,1410,1,1,2,穀物スコップ,Corn Scoop,,,木材1,「小麦を取る」のアクションのたびに、小麦をもう1つ得る。,1,0,0,0,0,0,0,,
101036,36,36,1350,1,1,2,レンガの屋根,Clay Roof,,職業1,,増築か改築をするとき、葦1または2を同数のレンガで代用できる。,1,1,0,0,0,0,0,,
101037,37,37,1356,1,1,2,レンガの柱,Clay Supports,,,木材2,レンガの家を増築するたびに、レンガ5と葦2をレンガ2と木材2と葦1で代用できる。,1,0,0,0,0,0,0,,
101038,38,38,1593,1,1,2,聖マリア像,Madonna Statue,,進歩2を捨てる,,得点だけで効果なし（自分の前に出した進歩カードを2枚捨てなければならない。手札は不可。大きい進歩でも小さい進歩でもよい。捨てた進歩カードによって得られるはずだった品物は全てなくなる）,1,2,0,0,0,0,0,,
101039,39,39,1596,1,1,2,露店,Market Stall,,,小麦1,このカードを出したらすぐ野菜1を得る。つまり、小麦1を野菜1に替える。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101040,40,40,1412,1,1,2,小牧場,Mini Pasture,,,食料2,このカードを出したらすぐ1スペースを柵で囲んで牧場にする。（柵のコストの木材は不要。）（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101041,41,41,1483,1,1,2,石臼,Millstone,,,石材1,パンを焼いて小麦を食料にするたびに、追加で食料2を得る。,1,0,0,0,0,0,0,,
101042,42,42,1663,1,1,2,親切な隣人,Helpful Neighbors,,,木材1/レンガ1,このカードを出したらすぐ、石材1か葦1を得る。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101043,43,43,1393,1,1,2,果物の木,Fruit Tree,,職業3,,ラウンド8〜14のうちまだ始まっていないラウンドのスペースに、それぞれ食料1を置く。これらのラウンドのはじめにその食料を得る。,1,1,0,0,0,0,0,,
101044,44,44,1586,1,1,2,離れのトイレ,Outhouse,,以下の条件,木材1レンガ1,得点になるが効果はない。ほかの人の中に職業2つ未満の人がいるときにのみ建てられる。（自分の職業はいくつでもよい）,1,2,0,0,0,0,0,,
101045,45,45,1394,1,1,2,個人の森,Private Forest,,,食料2,これ以降の偶数ラウンドのスペースに、それぞれ木材1を置く。これらのラウンドのはじめにその木材を得る。,1,0,0,0,0,0,0,,
101046,46,46,1466,1,1,2,荷車,Sack Cart,,職業2,木材2,"ラウンド5, 8, 11, 14のうちまだ始まっていないラウンドのスペースに、それぞれ小麦1を置く。これらのラウンドのはじめにその小麦を得る。",1,0,0,0,0,0,0,,
101047,47,47,1416,1,1,2,レタス畑,Lettuce Patch,,職業3,,このカードの上に種まきのとき畑と同じように野菜を植えられる。ここから収穫してすぐに食料にすると食料4になる。（このカードを得点計算で畑に含めない）,1,1,0,0,0,0,0,,
101048,48,48,1406,1,1,2,葦の池,Reed Pond,,職業3,,これ以降の3ラウンドのスペースにそれぞれ葦1を置く。これらのラウンドのはじめにその葦を得る。,1,1,0,0,0,0,0,,
101049,49,49,1403,1,1,2,書き机,Writing Desk,,職業2,木材1,「職業」のアクションで、2つの職業を続けて出せる。2枚目の職業を出すには、1枚目のコストに加えてさらに食料2を支払うこと。,1,1,0,0,0,0,0,,
101050,50,50,1462,1,1,2,へら,Builder’s Trowel,,,木材1,「改築」のアクションなしに、木の家をいつでもレンガの家に改築できる。（ただし資材は支払うこと）,1,0,0,0,0,0,0,,
101051,51,51,1600,1,1,2,糸巻き棒,Spindle,,,木材1,収穫で畑フェイズのたび羊を3匹持っていれば食料1、5匹持っていれば食料2を得る。,1,0,0,0,0,0,0,,
101052,52,52,1585,1,1,2,厩,Stable,,,木材1,このカードを出したらすぐ厩を1つ無料で建てる。（このカードのコストは払わなければならない。）（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101053,53,53,1590,1,1,2,攪乳器,Butter Churn,,,木材2,収穫で畑フェイズのたびに羊がいれば羊3匹につき食料1を得る。同じく牛がいれば牛2匹につき食料1を得る。,1,0,0,0,0,0,0,,
101054,54,54,1355,1,1,2,石切り場,Quarry,,職業4,,「日雇い労働者」のアクションのたびに、追加で石材3を得る。,1,2,0,0,0,0,0,,
101055,55,55,1460,1,1,2,石の家増築,Stone House Extension,,,石材3葦1,このカードを出したらすぐ、石の家が1スペース増築される。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101056,56,56,1461,1,1,2,石ばさみ,Stone Tongs,,,木材1,ラウンド5-7か、ラウンド10-11で登場する「石材」のアクションのたびに、石材をもう1つ得る。,1,0,0,0,0,0,0,,
101057,57,57,1468,1,1,2,ハト小屋,Dovecote,,,石材2,ラウンド10-14のうちまだ始まっていないラウンドのスペースに、それぞれ食料1を置く。これらのラウンドのはじめにその食料を得る。,1,2,0,0,0,0,0,,
101058,58,58,1520,1,1,2,家畜庭,Animal Yard,,職業1,木材2,このカードの上に好きな動物を2頭置ける。種類が異なっていてもよい。（このカードは得点計算で牧場に含めない）,1,1,0,0,0,0,0,,
101059,59,59,1588,1,1,2,水飲み場,Drinking Trough,,,木材2,厩の有無に関わらず、自分の牧場は全て家畜が2頭多く入るようになる。,1,1,0,0,0,0,0,,
101060,60,60,1668,1,1,2,家畜市場,Cattle Market,,,羊1,このカードを出したらすぐ牛1を得る。つまり、羊1を牛1に替える。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101061,61,61,1354,1,1,2,鋤車,Riding Plough,,職業3,木材4,ゲーム中2回、「畑1を耕す」か「畑1を耕して種をまく」のアクションで、耕せる畑が1つから3つになる。,1,0,0,0,0,0,0,,
101062,62,62,1388,1,1,2,折り返し鋤,Turnwrest Plow,,職業2,木材3,ゲーム中1回、「畑を耕す」か「畑を耕して種をまく」のアクションで、耕せる畑を3つまで耕せる。,1,0,0,0,0,0,0,,
101063,63,63,1384,1,2,2,突き鋤,Moldboard Plow,,職業1,木材2,ゲーム中に2回、「畑1を耕す」のアクションで耕せる畑が1つから2つになる。「畑1を耕して種をまく」のアクションでは使えない。,1,0,0,0,0,0,0,,
101064,64,64,1673,1,2,2,喜捨,Alms,,職業なし,,このカードを出した時点で、すでに終わっているラウンド数だけ食料を得る。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101065,65,65,1581,1,2,2,パン焼き部屋,Baker’s Kitchen,,暖炉1枚を返す,石材2,「パンを焼く」のアクションのたびに小麦2つまでをそれぞれ食料5にできる。このカードを出してすぐに追加で「パンを焼く」のアクションができる。,1,4,0,0,0,0,1,,
101066,66,66,1397,1,2,2,村の井戸,Village Well,,井戸を返す,,これ以降の3ラウンドにそれぞれ食料1を置く。これらのラウンドのはじめにその食料を得る。,1,5,0,0,0,0,0,,
101067,67,67,1603,1,2,2,脱穀そり,Threshing Board,,職業2,木材2,「畑1を耕す」か「畑1を耕して種をまく」のアクションのたびに追加で「パンを焼く」のアクションが行える。,1,1,0,0,0,0,0,,
101068,68,68,1518,1,2,2,馬鍬,Harrow,,,木材2,ゲーム中に1回だけ、「畑1を耕す」か「畑1を耕して種をまく」のアクションで耕せる畑が1つから2つになる。ほかの人もゲーム中に1回だけ、手番にあなたに食料2を払って同じことができる。,1,0,0,0,0,0,0,,
101069,69,69,1533,1,2,2,イチゴ花壇,Strawberry Patch,,野菜畑2,,これ以降の3ラウンドのスペースに食料を1つずつ置く。これらのラウンドのはじめにその食料を得る。,1,2,0,0,0,0,0,,
101070,70,70,1390,1,2,2,地固め機,Punner,,,木材1,ほかの人が馬鍬か鋤類を使うたびに、すぐに畑1を耕せる。（自分で馬鍬や鋤類を使っても効果なし）,0,0,0,0,0,0,0,,
101071,71,71,1676,1,2,2,別荘,Holiday House,,,（木材3/レンガ3）・葦2,ラウンド14で家族（ゲストを含む）を一切出さない（つまり収穫が2回連続する）。このカードはラウンド13までに出すこと。（このカードを出したらラウンド14の家族の投入は強制的にパスになる）,1,8,0,0,0,0,0,,
101072,72,72,1402,1,2,2,ガチョウ池,Goose Pond,,職業3,,これ以降の4ラウンドのスペースに食料を1つずつ置く。これらのラウンドのはじめにその食料を得る。,1,1,0,0,0,0,0,,
101073,73,73,1528,1,2,2,ゲスト,Guest,,,食料2,このカードを出したらゲストトークンを取り、次のラウンドに家族として1回だけ投入できる。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101074,74,74,1395,1,2,2,小麦車,Grain Cart,,職業2,木材2,「小麦1を取る」のアクションのたびに、追加で小麦2を得る。,1,0,0,0,0,0,0,,
101075,75,75,1591,1,2,2,手挽き臼,Hand Mill,,,石材1,収穫で食料供給フェイズのたびに小麦1を食料2にするか、小麦2を食料4にできる。,1,0,0,0,0,0,0,,
101076,76,76,1529,1,2,2,くまで,Rake,,,木材1,ゲーム終了時に畑が5つ以上あればボーナス2点を得る。馬鍬・鋤類・くびき・地固め機のいずれかを出していれば畑が6つ必要。,0,0,0,1,0,0,0,,
101077,77,77,1525,1,2,2,牧人の杖,Shepherd’s Crook,,,木材1,4スペース以上の牧場を新たに囲むたびに、その牧場に羊2頭を置く。,1,0,0,0,0,0,0,,
101078,78,78,1601,1,2,2,雑木林,Copse,,職業1,木材2,「種をまく」のアクションのたびに、このカードの上に木材を植えることができる。最大2つまで植えることができる。木材は畑の小麦のように扱い、畑フェイズで収穫する。（このカードは得点計算で畑に数えない）,1,1,0,0,0,0,0,,
101079,79,79,1360,1,2,2,木材荷車,Wood Cart,,職業3,木材3,アクションで累積スペースから木材を取るたびに、追加で木材2を得る。,0,0,0,0,0,0,0,,
101080,80,80,1385,1,2,2,林,Spinney,,職業3,木材1,ほかの人が「木材3」のアクションを行うたびに、その中から1つをもらう。（5人プレイの「木材4」ではもらえない）,1,1,0,0,0,0,0,,
101081,81,81,1348,1,2,2,木の家増築,Wooden Hut Extension,,,木材5葦1,このカードを出したらすぐに無料で木の家が1部屋増える。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101082,82,82,1481,1,2,2,木のクレーン,Wooden Crane,,,木材3,ラウンド5-7とラウンド10-11で登場する「石材1」のアクションのたびに、追加で石材1を得る。そのとき食料1を払えば追加分が石材1から石材2になる。,1,1,0,0,0,0,0,,
101083,83,83,1524,1,2,2,林道,Wooden Path,,,木材1,あなたが最も価値の高い道を持っている人であれば得点計算でボーナス2点を得る。（石材5の「舗装道路」は「レンガ道」より価値が高く、レンガ3の「レンガ道」は林道より価値が高い）,0,0,0,1,0,0,0,,
101084,84,84,1396,1,2,2,鶏小屋,Chicken Coop,,,（木材2/レンガ2）・葦1,これ以降の8ラウンドのスペースに食料を1つずつ置く。これらのラウンドのはじめにその食料を得る。,1,1,0,0,0,0,0,,
101085,85,85,1464,1,2,2,調理コーナー,Cooking Corner,,調理場を返す,,"以下の品をいつでも食料にできる:
野菜1→食料4 羊1→食料2 猪1→食料3 牛1→食料4
「パンを焼く」のアクションでは、小麦を以下の数の食料にできる:
小麦1→食料3",1,3,0,0,0,1,1,,
101086,86,86,1664,1,2,2,乾燥小屋,Corn Storehouse,,,（木材2/レンガ2）・葦2,畑フェイズの後で空いている畑があれば、すぐに小麦を植えられる。ただし置く小麦は1つ少なくなる。（畑フェイズは収穫で行われる）,1,1,0,0,0,0,0,,
101087,87,87,1471,1,2,2,かめ,Flagon,,,レンガ1,誰か（自分を含む）が井戸を作るか村の井戸に改良するたびに、ほかの人は食料1、自分は食料4を得る。（すでに井戸がある場合はカードを出したときに得る）,1,0,0,0,0,0,0,,
101088,88,88,1386,1,2,2,投げ縄,Lasso,,,葦1,家族を続けて2人置ける。ただしそのうち少なくとも1人は「猪1」「牛1」「羊1」のいずれかに置くこと。（5人プレイ時の「羊1とを得るか、猪1と…」のアクションを除く）,1,0,0,0,0,0,0,,
101089,89,89,1474,1,2,2,レンガ道,Clay Path,,,レンガ3,あなたが最も価値の高い道を持っている人であれば得点計算でボーナス2点を得る。（石材5の「舗装道路」は「レンガ道」より価値が高く、レンガ道は木材1の「林道」より価値が高い）,0,1,0,1,0,0,0,,
101090,90,90,1414,1,2,2,プランター,Planter Box,,職業2,,家と接する畑に種をまくたびに、その畑に追加で小麦2か野菜1が置かれる。,1,0,0,0,0,0,0,,
101091,91,91,1357,1,2,2,はしご,Ladder,,,木材2,増築や改築、水車・木骨の小屋・鶏小屋・別荘・ヴィラ・乾燥小屋を作るたびに、コストの葦を1つ減らせる。,1,0,0,0,0,0,0,,
101092,92,92,1594,1,2,2,堆肥,Manure,,家畜2,,収穫しないラウンドの最後でも、全ての畑から小麦1か野菜1を取ることができる。（収穫する場合は全ての畑から収穫しなければならない）,1,0,0,0,0,0,0,,
101093,93,93,1669,1,2,2,酪農場,Milking Shed,,,石材3レンガ2,収穫で畑フェイズのたびに、はじめに全員の農場にいる全ての羊と牛を数える。羊5頭、牛3頭につきそれぞれ食料1を得る。（羊と牛の数は全部合計する）,1,2,0,0,0,0,0,,
101094,94,94,1592,1,2,2,舗装道路,Paved Road,,,石材5,あなたが最も価値の高い道を持っている人であれば得点計算でボーナス2点を得る。（「舗装道路」はレンガ3の「レンガ道」より価値が高く、レンガ道は木材1の「林道」より価値が高い）,0,2,0,1,0,0,0,,
101095,95,95,1358,1,2,2,梁,Fish Trap,,,木材1,「漁」か葦を取るアクションのたびに追加で食料1を得る。,1,0,0,0,0,0,0,,
101096,96,96,1523,1,2,2,葦の交換,Reed Exchange,,,木材2/レンガ2,このカードを出したらすぐに葦2を得る。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101097,97,97,1597,1,2,2,畜殺場,Slaughterhouse,,,レンガ2・石材2,ほかの人が家畜を1頭以上、食料にするたびにストックから食料1を得る。食料供給フェイズでは手番が最後になる。（自分で畜殺したときは効果なし）,1,2,0,0,0,0,0,,
101098,98,98,1583,1,2,2,火酒製造所,Schnaps Distillery,,,石材2野菜1,収穫で食料供給フェイズのたびに野菜最大1を食料4にできる。ゲーム終了時に5つ目と6つ目の野菜1つにつき、それぞれボーナス1点を得る。,1,2,0,1,0,0,0,,
101099,99,99,1517,1,2,2,わら小屋,Straw-thatched Roof,,小麦畑3,,増築や改築を行う時に、葦がもう不要になる。,1,1,0,0,0,0,0,,
101100,100,100,1667,1,2,2,酒場,Tavern,,,木材2石材2,このカードは追加のアクションのスペースになる。ここでほかの人がアクションを行うと食料3を得る。自分でアクションを行うと、食料3かボーナス2点のどちらかを得る。（ほかの人が使った場合は自分には何も入らない）,1,2,0,1,0,0,0,,
101101,101,101,1666,1,2,2,家畜の餌,Animal Feed,,栽培中の畑4,,得点計算の直前に、1匹以上所有している家畜の種類ごとに1匹ずつ増える。（農場内に置き場所が必要）,0,0,0,0,0,0,0,,
101102,102,102,1477,1,2,2,動物園,Wildlife Reserve,,職業2,木材2,このカードの上に羊と猪と牛を各1頭ずつまで置くことができる。（このカードは得点計算で牧場に含めない）,1,1,0,0,0,0,0,,
101103,103,103,1674,1,2,2,水車,Water Mill,,,木材1レンガ2葦1石材2,全員が畑フェイズのたびに小麦最大1を食料3にできる。ほかの人がこれを行ったら、その中から食料1をもらう。（畑フェイズは収穫のときに行う）,1,2,0,0,0,0,0,,
101104,104,104,1671,1,2,2,週末市場,Weekly Market,,,小麦3,このカードを出したらすぐに野菜2を得る。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101105,105,105,1303,1,3,2,平地,Acreage,,職業1,,種をまくとき、畑2つに植えるようにしてこのカードの上に小麦2を植えることができる。このカードは得点計算で畑に含めない）,1,0,0,0,0,0,0,,
101106,106,106,1535,1,3,2,パン焼き小屋,Bakehouse,,暖炉1枚を返す,石材3,「パンを焼く」のアクションのたびに、小麦2つまでをそれぞれ食料5にできる。このカードを出してすぐに追加で「パンを焼く」のアクションができる。,1,5,0,0,0,0,1,,
101107,107,107,1487,1,3,2,建築用木材,Lumber,,,石材1,このカードを出したらすぐに、木材3を得る。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,1,0,1,0,0,0,0,,
101108,108,108,1407,1,3,2,ミツバチの巣,Beehive,,進歩2と職業3,,これ以降の偶数ラウンドのスペースにそれぞれ食料を2つずつ置く。これらのラウンドのはじめにその食料を得る。,1,1,0,0,0,0,0,,
101109,109,109,1662,1,3,2,焼き串,Spit Roast,,,木材1,収穫で食料供給フェイズのたびに家畜を1頭以上食料にすると、追加で食料1を得る。,0,0,0,0,0,0,0,,
101110,110,110,1670,1,3,2,醸造所,Brewery,,,石材2小麦2,収穫で食料供給フェイズのたびに、小麦最大1を食料3にできる。ゲーム終了時に収穫した小麦が9つ以上あればボーナス1点を得る。,0,2,0,1,0,0,0,,
101111,111,111,1598,1,3,2,パン焼き棒,Bread Paddle,,,木材1,職業を出すたびに、続けて「パンを焼く」のアクションができる。,1,0,0,0,0,0,0,,
101112,112,112,1361,1,3,2,本棚,Bookshelf,,職業3,木材1,職業を1つ出すたびに食料3を得る。この食料は、その職業を出すコストに使用できる。,1,1,0,0,0,0,0,,
101113,113,113,1584,1,3,2,脱穀棒,Flail,,職業1,木材1,「畑1を耕す」か「畑1を耕して種をまく」のアクションのたびに、追加で「パンを焼く」のアクションができる。,1,0,0,0,0,0,0,,
101114,114,114,1320,1,3,2,鴨の池,Duck Pond,,職業2,,これ以降の3ラウンドのスペースに食料をそれぞれ1つずつ置く。これらのラウンドの最初にその食料を得る。,1,1,0,0,0,0,0,,
101115,115,115,1351,1,3,2,耕運鋤,Swing Plough,,職業3,木材3,ゲーム中2回、「畑1を耕す」のアクションで耕せる畑が1つから3つになる。「畑を耕して種をまく」のアクションでは使えない。,1,0,0,0,0,0,0,,
101116,116,116,1469,1,3,2,穀物倉庫,Granary,,,木材3/レンガ3,"ラウンド8, 10, 12のうちまだ始まっていないラウンドのスペースに、小麦を1ずつ置く。これらのラウンドのはじめにその小麦を得る。",1,1,0,0,0,0,0,,
101117,117,117,1408,1,3,2,温室,Greenhouse,,職業1,木材2,現在のラウンドに4と7を足す。そのラウンドのスペースにそれぞれ野菜を1つずつ置き、ラウンドのはじめに食料1を払えばその野菜を得る。,1,1,0,0,0,0,0,,
101118,118,118,1595,1,3,2,肥溜め,Liquid Manure,,家畜4,,種まきで毎回、新しく植えた畑に小麦1か野菜1を追加で置く。,1,0,0,0,0,0,0,,
101119,119,119,1392,1,3,2,鉤型鋤,Crooked Plough,,職業1,木材3,ゲーム中1回、「畑1を耕す」のアクションで耕せる畑が1つから3つになる。「畑を耕して種をまく」のアクションでは使えない。,1,0,0,0,0,0,0,,
101120,120,120,1349,1,3,2,ヤギ,House Goat,,,,食料供給フェイズのたびに食料1を得る。自分の家にはこのヤギ以外の動物を飼えなくなる。（調教師があっても不可）,0,1,0,0,0,0,0,,
101121,121,121,1353,1,3,2,木挽き台,Sawhorse,,,木材2,"自分の牧場に置く次の厩と3, 6, 9, 12, 15本目の柵は無料になる。（柵は牧場を完全に囲む形でしか置けない）",1,0,0,0,0,0,0,,
101122,122,122,1522,1,3,2,製材所,Sawmill,,家具製作所を返す,,収穫のたびに、木材最大1を食料3にできる。ゲーム終了時に木材2/4/5でそれぞれ1/2/3点のボーナスを得る。（この後にまた家具製作所を獲得してもボーナス点はない）,1,3,0,1,0,0,0,,
101123,123,123,1521,1,3,2,木の宝石箱,Wooden Strongbox,,,木材1,ゲーム終了時、家の広さが5部屋なら2点、6部屋ならば4点のボーナスを得る。,1,0,0,1,0,0,0,,
101124,124,124,1484,1,3,2,くびき,Yoke,,牛1,木材1,このカードを出すとすぐに、場に出ている全ての鋤類の数だけ畑を耕せる。（自分で出している分も数える）,1,0,0,0,0,0,0,,
101125,125,125,1389,1,3,2,ほうき,Broom,,,木材1,手札の小さい進歩を全て捨て、新たに7枚引く。そしてすぐに1枚実行できる。（実行する場合は条件を満たし、かつコストを払うこと）,1,0,0,0,0,0,0,,
